,0
2004-05-24,-0.2160097377982585
2004-05-27,-0.21599051335844238
2004-05-31,-0.21596708252908173
2004-06-03,-0.21594976486882225
2004-06-07,-0.21592268659165684
2004-06-10,-0.2158946850425472
2004-06-14,-0.21584456000714522
2004-06-17,-0.2158092364850436
2004-06-21,-0.2157913676729175
2004-06-24,-0.2157798649094112
2004-06-28,-0.2157383853661547
2004-07-01,-0.2157026872851672
2004-07-05,-0.21566952817029283
2004-07-08,-0.215651128523874
2004-07-12,-0.21562941932739804
2004-07-15,-0.21561581589192283
2004-07-19,-0.21559798343633033
2004-07-22,-0.21558613608650617
2004-07-26,-0.2155518529239252
2004-07-29,-0.2155431129500341
2004-08-02,-0.21555676254367626
2004-08-05,-0.21555864935396266
2004-08-09,-0.21556012286465404
2004-08-12,-0.2155590273448336
2004-08-16,-0.21556251737245366
2004-08-19,-0.21555703882565871
2004-08-23,-0.21555674933619304
2004-08-26,-0.2155722857218817
2004-08-30,-0.2156167587380593
2004-09-02,-0.21562927882872965
2004-09-06,-0.21565956935005648
2004-09-09,-0.21572261968036183
2004-09-13,-0.2157842798404243
2004-09-16,-0.21582711441509042
2004-09-20,-0.21589925485340547
2004-09-23,-0.21592825183226633
2004-09-27,-0.21597652394449324
2004-09-30,-0.2160656734922807
2004-10-04,-0.21618377961068316
2004-10-07,-0.21624999257620514
2004-10-11,-0.21620726425767228
2004-10-14,-0.2161356079095903
2004-10-18,-0.21611482988741845
2004-10-21,-0.21618214302635697
2004-10-25,-0.2163829164228841
2004-10-28,-0.21643644295051725
2004-11-01,-0.21634416828408412
2004-11-04,-0.2162989668118592
2004-11-08,-0.21635661565295047
2004-11-11,-0.21641905084314889
2004-11-15,-0.21643192548192977
2004-11-18,-0.2163902342519344
2004-11-22,-0.2162889808191751
2004-11-25,-0.2162145553175483
2004-11-29,-0.21375156733040582
2004-12-02,-0.2077442231882297
2004-12-06,-0.19658688473602745
2004-12-09,-0.18822633516457574
2004-12-13,-0.17717716858578225
2004-12-16,-0.1689412836799666
2004-12-20,-0.15792283895791664
2004-12-23,-0.14973153901277922
2004-12-27,-0.24062290011283327
2004-12-30,-0.23359722140583614
2005-01-03,-0.12249933150578761
2005-01-06,-0.11439253226056792
2005-01-10,-0.10361244781824781
2005-01-13,-0.09552298311955003
2005-01-17,-0.08476620720612374
2005-01-20,-0.07674674444066767
2005-01-24,-0.06607128943024076
2005-01-27,-0.060014034083678724
2005-01-31,-0.06212704469647906
2005-02-03,-0.06977879477693778
2005-02-07,-0.08049736506311805
2005-02-10,-0.08853256418382059
2005-02-14,-0.0992620834959473
2005-02-17,-0.10732076362421457
2005-02-21,-0.11810363337004083
2005-02-24,-0.12621579395378868
2005-02-28,-0.13704717004486966
2005-03-03,-0.14517121469253827
2005-03-07,2.8247298142647868
2005-03-10,5.800866835945586
2005-03-14,6.793788091412825
2005-03-17,3.801351995925367
2005-03-21,-0.19411373257814046
2005-03-24,-0.2023832507088025
2005-03-28,-0.21188053127194478
2005-03-31,-0.21506427934687222
2005-04-04,-0.2154913600008229
2005-04-07,-0.21579999172453398
2005-04-11,-0.21615237885348768
2005-04-14,-0.21626617038177662
2005-04-18,-0.21635353810331853
2005-04-21,-0.21637066549837647
2005-04-25,-0.21635151780645445
2005-04-28,-0.21632596264394377
2005-05-02,-0.21625086130525725
2005-05-05,-0.21619342991251894
2005-05-09,-0.21611706505108172
2005-05-12,-0.21603911000917456
2005-05-16,-0.21594159147839095
2005-05-19,-0.21587412883495016
2005-05-23,-0.215788423294287
2005-05-26,-0.21573525593070292
2005-05-30,-0.21567045017007377
2005-06-02,-0.2156194194098366
2005-06-06,-0.2155581148007631
2005-06-09,-0.21551216518465177
